time,UAV_NED_x,UAV_NED_y,UAV_NED_z,distanceToObst,riskID,risk_type,pos_0,pos_1,pos_2,controller_mode,groundspeed,course,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5
1744880489591574.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,353.44,1.0472
1744880489612477.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489612477.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489633284.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489633284.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489654261.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489654261.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489679359.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489679359.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489714144.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489714144.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489734584.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489734584.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489755848.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489755848.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489776799.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489776799.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489797741.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489797741.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489818522.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489818522.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489839360.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489839360.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489860486.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489860486.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489881570.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489881570.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489902438.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489902438.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489923269.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489923269.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489944331.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489944331.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489965311.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,351.142,1.0472
1744880489965311.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880489986299.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880489986299.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880490007252.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490007252.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880490028156.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490028156.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
1744880490049186.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,350.602,1.0472
1744880490049186.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,351.697,1.0472
