time,x_state,y_state,z_state,psi_state,mpc_cmd_psi,mpc_cmd_omega,mpc_cmd_vel
1744880488643485.0,-1320.97,-2440.41,0.603288,0.0,6.12637,-0.156811,60.0
1744880488661512.0,-1320.97,-2440.41,0.603288,0.0,6.19495,-0.0882399,60.0
1744880488682280.0,-1320.97,-2440.41,0.603288,0.0,6.12857,-0.154612,60.0
1744880488707168.0,-1320.97,-2440.41,0.603288,0.0,6.12704,-0.156146,60.0
1744880488727996.0,-1320.97,-2440.41,0.603288,0.0,6.1276,-0.155587,60.0
1744880488748887.0,-1320.97,-2440.41,0.603288,0.0,6.14631,-0.136872,60.0
1744880488769372.0,-1320.97,-2440.41,0.603288,0.0,6.13064,-0.15255,60.0
1744880488790042.0,-1320.97,-2440.41,0.603288,0.0,6.12866,-0.154526,60.0
1744880488810782.0,-1320.97,-2440.41,0.603288,0.0,6.13325,-0.149937,60.0
1744880488831314.0,-1320.97,-2440.41,0.603288,0.0,6.13394,-0.149248,60.0
1744880488852251.0,-1320.97,-2440.41,0.603288,0.0,6.1319,-0.151283,60.0
1744880488873175.0,-1320.97,-2440.41,0.603288,0.0,6.12338,-0.159805,60.0
1744880488894196.0,-1320.97,-2440.41,0.603288,0.0,6.17117,-0.112018,60.0
1744880488915058.0,-1320.97,-2440.41,0.603288,0.0,6.15079,-0.132393,60.0
1744880488936000.0,-1320.97,-2440.41,0.603288,0.0,6.1272,-0.15599,60.0
1744880488957015.0,-1320.97,-2440.41,0.603288,0.0,6.14303,-0.140158,60.0
1744880488977838.0,-1320.97,-2440.41,0.603288,0.0,0.033849,0.033849,60.0
1744880488998512.0,-1320.97,-2440.41,0.603288,0.0,6.13856,-0.144629,60.0
1744880489019528.0,-1320.97,-2440.41,0.603288,0.0,6.16168,-0.121503,60.0
1744880489040466.0,-1320.97,-2440.41,0.603288,0.0,6.16462,-0.11857,60.0
1744880489061474.0,-1320.97,-2440.41,0.603288,0.0,6.14396,-0.139229,60.0
1744880489082390.0,-1320.97,-2440.41,0.603288,0.0,6.23619,-0.0469904,60.0
1744880489103287.0,-1320.97,-2440.41,0.603288,0.0,6.12203,-0.161156,60.0
1744880489124443.0,-1320.97,-2440.41,0.603288,0.0,6.20187,-0.0813188,60.0
1744880489145481.0,-1320.97,-2440.41,0.603288,0.0,6.13419,-0.148992,60.0
1744880489166427.0,-1320.97,-2440.41,0.603288,0.0,6.13334,-0.149846,60.0
1744880489187374.0,-1320.97,-2440.41,0.603288,0.0,6.15222,-0.130964,60.0
1744880489208352.0,-1320.97,-2440.41,0.603288,0.0,6.13231,-0.150875,60.0
1744880489229383.0,-1320.97,-2440.41,0.603288,0.0,6.13405,-0.149135,60.0
1744880489250268.0,-1320.97,-2440.41,0.603288,0.0,6.12764,-0.15555,60.0
1744880489271402.0,-1320.97,-2440.41,0.603288,0.0,6.14409,-0.1391,60.0
1744880489292255.0,-1320.97,-2440.41,0.603288,0.0,6.17675,-0.106432,60.0
1744880489313611.0,-1320.97,-2440.41,0.603288,0.0,6.16262,-0.120567,60.0
1744880489334440.0,-1320.97,-2440.41,0.603288,0.0,6.16823,-0.114951,60.0
1744880489358163.0,-1320.97,-2440.41,0.603288,0.0,6.13073,-0.152457,60.0
1744880489389075.0,-1320.97,-2440.41,0.603288,0.0,6.1374,-0.145786,60.0
1744880489409457.0,-1320.97,-2440.41,0.603288,0.0,6.1338,-0.149385,60.0
1744880489430068.0,-1320.97,-2440.41,0.603288,0.0,6.12859,-0.154598,60.0
1744880489450868.0,-1320.97,-2440.41,0.603288,0.0,6.20118,-0.0820023,60.0
1744880489471958.0,-1320.97,-2440.41,0.603288,0.0,6.12434,-0.158849,60.0
1744880489492972.0,-1320.97,-2440.41,0.603288,0.0,6.11883,-0.164359,60.0
1744880489513905.0,-1320.97,-2440.41,0.603288,0.0,6.122,-0.161187,60.0
1744880489534721.0,-1320.97,-2440.41,0.603288,0.0,6.14444,-0.138745,60.0
1744880489555619.0,-1320.97,-2440.41,0.603288,0.0,6.22753,-0.0556504,60.0
1744880489576544.0,-1320.97,-2440.41,0.603288,0.0,6.16898,-0.114205,60.0
1744880489597448.0,-1320.97,-2440.41,0.603288,0.0,6.19443,-0.0887505,60.0
1744880489618279.0,-1320.97,-2440.41,0.603288,0.0,6.1216,-0.161581,60.0
1744880489639320.0,-1320.97,-2440.41,0.603288,0.0,6.1564,-0.12679,60.0
1744880489660354.0,-1320.97,-2440.41,0.603288,0.0,6.1269,-0.156284,60.0
1744880489686105.0,-1320.97,-2440.41,0.603288,0.0,6.15693,-0.126258,60.0
1744880489715537.0,-1320.97,-2440.41,0.603288,0.0,6.21335,-0.0698318,60.0
1744880489736032.0,-1320.97,-2440.41,0.603288,0.0,6.14552,-0.137666,60.0
1744880489756839.0,-1320.97,-2440.41,0.603288,0.0,6.15172,-0.13147,60.0
1744880489777961.0,-1320.97,-2440.41,0.603288,0.0,6.14214,-0.141046,60.0
1744880489798639.0,-1320.97,-2440.41,0.603288,0.0,6.14411,-0.139071,60.0
1744880489819480.0,-1320.97,-2440.41,0.603288,0.0,6.12355,-0.159637,60.0
1744880489840143.0,-1320.97,-2440.41,0.603288,0.0,6.13541,-0.147775,60.0
1744880489860958.0,-1320.97,-2440.41,0.603288,0.0,6.1464,-0.136788,60.0
1744880489881819.0,-1320.97,-2440.41,0.603288,0.0,6.16471,-0.118475,60.0
1744880489902466.0,-1320.97,-2440.41,0.603288,0.0,6.12082,-0.162364,60.0
1744880489923417.0,-1320.97,-2440.41,0.603288,0.0,6.11901,-0.164171,60.0
1744880489944303.0,-1320.97,-2440.41,0.603288,0.0,6.11917,-0.164018,60.0
1744880489965261.0,-1320.97,-2440.41,0.603288,0.0,6.1394,-0.143787,60.0
1744880489986566.0,-1320.97,-2440.41,0.603288,0.0,0.125677,0.125677,60.0
1744880490007410.0,-1320.97,-2440.41,0.603288,0.0,6.1482,-0.134981,60.0
1744880490028394.0,-1320.97,-2440.41,0.603288,0.0,0.0212143,0.0212143,60.0
1744880490049214.0,-1320.97,-2440.41,0.603288,0.0,6.1249,-0.158289,60.0
1744880490070058.0,-1320.97,-2440.41,0.603288,0.0,6.15674,-0.126442,60.0
1744880490090975.0,-1320.97,-2440.41,0.603288,0.0,6.16058,-0.122603,60.0
1744880490116105.0,-1320.97,-2440.41,0.603288,0.0,6.14024,-0.142943,60.0
1744880490156661.0,-1320.97,-2440.41,0.603288,0.0,6.18674,-0.096445,60.0
1744880490177160.0,-1320.97,-2440.41,0.603288,0.0,6.13524,-0.147944,60.0
1744880490198447.0,-1320.97,-2440.41,0.603288,0.0,6.16502,-0.11816,60.0
1744880490218987.0,-1320.97,-2440.41,0.603288,0.0,6.16073,-0.122453,60.0
1744880490239918.0,-1320.97,-2440.41,0.603288,0.0,6.20073,-0.0824503,60.0
1744880490260997.0,-1320.97,-2440.41,0.603288,0.0,6.18519,-0.0979908,60.0
1744880490281865.0,-1320.97,-2440.41,0.603288,0.0,6.12724,-0.155944,60.0
1744880490302594.0,-1320.97,-2440.41,0.603288,0.0,6.12553,-0.157651,60.0
1744880490323535.0,-1320.97,-2440.41,0.603288,0.0,6.13103,-0.152151,60.0
1744880490344706.0,-1320.97,-2440.41,0.603288,0.0,6.13483,-0.148359,60.0
1744880490365667.0,-1320.97,-2440.41,0.603288,0.0,6.14966,-0.133526,60.0
1744880490386452.0,-1320.97,-2440.41,0.603288,0.0,6.12753,-0.155653,60.0
1744880490407419.0,-1320.97,-2440.41,0.603288,0.0,6.12503,-0.158153,60.0
1744880490428393.0,-1320.97,-2440.41,0.603288,0.0,6.17621,-0.106979,60.0
1744880490449622.0,-1320.97,-2440.41,0.603288,0.0,6.18513,-0.0980515,60.0
1744880490470540.0,-1320.97,-2440.41,0.603288,0.0,6.13004,-0.153144,60.0
1744880490491533.0,-1320.97,-2440.41,0.603288,0.0,6.1403,-0.142888,60.0
1744880490512530.0,-1320.97,-2440.41,0.603288,0.0,6.14341,-0.139778,60.0
