time,platformId,x,y,z,psi,target_x,target_y,target_z,target_psi,nextPoint_x,nextPoint_y,nextPoint_z,nextPoint_psi,ref0_x,ref0_y,ref0_z,ref0_psi,ref1_x,ref1_y,ref1_z,ref1_psi,ref2_x,ref2_y,ref2_z,ref2_psi,ref3_x,ref3_y,ref3_z,ref3_psi,ref4_x,ref4_y,ref4_z,ref4_psi,ref5_x,ref5_y,ref5_z,ref5_psi,ref6_x,ref6_y,ref6_z,ref6_psi,ref7_x,ref7_y,ref7_z,ref7_psi,ref8_x,ref8_y,ref8_z,ref8_psi,ref9_x,ref9_y,ref9_z,ref9_psi
1744880694590653.0,1801.0,-11953.4,13071.8,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0,-11953.4,13071.8,269.825,0.0
1744880694611265.0,1801.0,-11952.1,13072.5,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0
1744880694631817.0,1801.0,-11952.1,13072.5,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0,-11952.1,13072.5,269.825,0.0
1744880694652443.0,1801.0,-11931.8,13076.5,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0
1744880694673009.0,1801.0,-11931.8,13076.5,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0
1744880694693637.0,1801.0,-11931.8,13076.5,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0,-11931.8,13076.5,269.825,0.0
1744880694714474.0,1801.0,-11954.7,13059.5,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0
1744880694735139.0,1801.0,-11954.7,13059.5,269.825,0.0,36.5248,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0,-11954.7,13059.5,269.825,0.0
1744880694755596.0,1801.0,-11928.0,13066.9,269.825,0.0,36.5247,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0
1744880694776269.0,1801.0,-11928.0,13066.9,269.825,0.0,36.5247,105.152,3695.0,0.0,0.0,0.0,0.0,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0,-11928.0,13066.9,269.825,0.0
