time,x_state,y_state,z_state,psi_state,mpc_cmd_psi,mpc_cmd_omega,mpc_cmd_vel
1744880490323551.0,-210.978,-2440.1,0.469502,0.0,6.17203,-0.111156,60.0
1744880490344501.0,-210.978,-2440.1,0.469502,0.0,6.17581,-0.107372,60.0
1744880490365602.0,-210.978,-2440.1,0.469502,0.0,6.13784,-0.145341,60.0
1744880490386457.0,-210.978,-2440.1,0.469502,0.0,6.13997,-0.143218,60.0
1744880490407606.0,-210.978,-2440.1,0.469502,0.0,6.12018,-0.163007,60.0
1744880490428677.0,-210.978,-2440.1,0.469502,0.0,6.14945,-0.133738,60.0
1744880490449672.0,-210.978,-2440.1,0.469502,0.0,6.16891,-0.11427,60.0
1744880490470499.0,-210.978,-2440.1,0.469502,0.0,6.1195,-0.163681,60.0
1744880490491532.0,-210.978,-2440.1,0.469502,0.0,6.1225,-0.160689,60.0
1744880490512450.0,-210.978,-2440.1,0.469502,0.0,6.12259,-0.160599,60.0
1744880490533603.0,-210.978,-2440.1,0.469502,0.0,6.20449,-0.0786979,60.0
1744880490554542.0,-210.978,-2440.1,0.469502,0.0,6.16081,-0.12237,60.0
1744880490575358.0,-210.978,-2440.1,0.469502,0.0,6.1907,-0.0924857,60.0
1744880490596117.0,-210.978,-2440.1,0.469502,0.0,6.12741,-0.155777,60.0
1744880490617095.0,-210.978,-2440.1,0.469502,0.0,6.20402,-0.0791697,60.0
1744880490637891.0,-210.978,-2440.1,0.469502,0.0,6.16115,-0.122032,60.0
1744880490658678.0,-210.978,-2440.1,0.469502,0.0,6.12236,-0.160825,60.0
1744880490679699.0,-210.978,-2440.1,0.469502,0.0,6.12788,-0.155302,60.0
1744880490700535.0,-210.978,-2440.1,0.469502,0.0,6.13833,-0.144856,60.0
1744880490721500.0,-210.978,-2440.1,0.469502,0.0,6.19404,-0.0891495,60.0
1744880490742532.0,-208.436,-2442.14,0.470201,6.13833,5.99066,-0.14767,60.0
1744880490763230.0,-208.436,-2442.14,0.470201,6.13833,5.98015,-0.158178,60.0
1744880490784313.0,-208.436,-2442.14,0.470201,6.13833,5.98469,-0.153644,60.0
1744880490805322.0,-206.318,-2444.19,0.470915,5.98015,5.88341,-0.0967423,60.0
1744880490826319.0,-206.318,-2444.19,0.470915,5.98015,5.81909,-0.16106,60.0
1744880490847145.0,-204.2,-2446.24,0.47163,5.88341,5.80979,-0.0736176,60.0
1744880490868273.0,-204.2,-2446.24,0.47163,5.88341,5.72596,-0.157446,60.0
1744880490889309.0,-204.2,-2446.24,0.47163,5.88341,5.73774,-0.145672,60.0
1744880490910389.0,-202.082,-2448.29,0.472347,5.72596,5.6198,-0.106165,60.0
1744880490931267.0,-202.082,-2448.29,0.472347,5.72596,5.58392,-0.142039,60.0
1744880490952198.0,-199.964,-2450.33,0.473065,5.6198,5.47526,-0.144534,60.0
1744880490973111.0,-199.964,-2450.33,0.473065,5.6198,5.55447,-0.0653309,60.0
1744880490994081.0,-197.846,-2452.38,0.473784,5.55447,5.52712,-0.0273509,60.0
