time,x_state,y_state,z_state,psi_state,mpc_cmd_psi,mpc_cmd_omega,mpc_cmd_vel
1744878805651913.0,-210.978,-2440.1,0.469502,0.0,6.15494,-0.128245,60.0
1744878805671432.0,-210.978,-2440.1,0.469502,0.0,0.00865101,0.00865101,60.0
1744878805692196.0,-210.978,-2440.1,0.469502,0.0,6.14712,-0.136067,60.0
1744878805714329.0,-210.978,-2440.1,0.469502,0.0,6.24237,-0.0408159,60.0
1744878805734509.0,-210.978,-2440.1,0.469502,0.0,6.12325,-0.159933,60.0
1744878805755565.0,-210.978,-2440.1,0.469502,0.0,6.12746,-0.15573,60.0
1744878805776016.0,-210.978,-2440.1,0.469502,0.0,0.13617,0.13617,60.0
1744878805797346.0,-210.978,-2440.1,0.469502,0.0,6.19867,-0.0845113,60.0
1744878805817934.0,-210.978,-2440.1,0.469502,0.0,6.16495,-0.118234,60.0
1744878805838660.0,-210.978,-2440.1,0.469502,0.0,6.18276,-0.100428,60.0
1744878805859891.0,-210.978,-2440.1,0.469502,0.0,6.16447,-0.118719,60.0
1744878805880403.0,-210.978,-2440.1,0.469502,0.0,6.2436,-0.0395829,60.0
1744878805901446.0,-210.978,-2440.1,0.469502,0.0,0.0917989,0.0917989,60.0
1744878805922225.0,-210.978,-2440.1,0.469502,0.0,0.0544633,0.0544633,60.0
1744878805942602.0,-210.978,-2440.1,0.469502,0.0,0.00635587,0.00635587,60.0
1744878805963489.0,-210.978,-2440.1,0.469502,0.0,6.12895,-0.154231,60.0
1744878805983973.0,-210.978,-2440.1,0.469502,0.0,6.16684,-0.116344,60.0
1744878806004716.0,-210.978,-2440.1,0.469502,0.0,6.14669,-0.136491,60.0
1744878806025350.0,-210.978,-2440.1,0.469502,0.0,0.0452524,0.0452524,60.0
1744878806046217.0,-210.978,-2440.1,0.469502,0.0,6.14036,-0.142825,60.0
1744878806066502.0,-210.978,-2440.1,0.469502,0.0,6.13945,-0.143735,60.0
1744878806087292.0,-210.978,-2440.1,0.469502,0.0,6.16062,-0.122565,60.0
1744878806107924.0,-210.978,-2440.1,0.469502,0.0,6.18433,-0.098857,60.0
1744878806128336.0,-210.978,-2440.1,0.469502,0.0,6.20138,-0.0818102,60.0
1744878806149244.0,-210.978,-2440.1,0.469502,0.0,6.12375,-0.159436,60.0
1744878806170045.0,-210.978,-2440.1,0.469502,0.0,6.13236,-0.150824,60.0
1744878806190707.0,-210.978,-2440.1,0.469502,0.0,6.15656,-0.126626,60.0
1744878806211588.0,-210.978,-2440.1,0.469502,0.0,6.19641,-0.0867724,60.0
1744878806232247.0,-210.978,-2440.1,0.469502,0.0,6.16903,-0.114152,60.0
1744878806252981.0,-210.978,-2440.1,0.469502,0.0,6.23957,-0.0436109,60.0
1744878806273908.0,-210.978,-2440.1,0.469502,0.0,6.14586,-0.13733,60.0
1744878806295047.0,-210.978,-2440.1,0.469502,0.0,6.12232,-0.160861,60.0
1744878806315745.0,-210.978,-2440.1,0.469502,0.0,6.14652,-0.13667,60.0
1744878806336846.0,-210.978,-2440.1,0.469502,0.0,6.14372,-0.13947,60.0
1744878806357588.0,-210.978,-2440.1,0.469502,0.0,6.18937,-0.0938107,60.0
1744878806378349.0,-210.978,-2440.1,0.469502,0.0,6.264,-0.0191821,60.0
1744878806404483.0,-210.978,-2440.1,0.469502,0.0,6.16581,-0.117373,60.0
1744878806425489.0,-210.978,-2440.1,0.469502,0.0,6.12032,-0.162864,60.0
1744878806446242.0,-210.978,-2440.1,0.469502,0.0,6.12673,-0.156459,60.0
1744878806467251.0,-210.978,-2440.1,0.469502,0.0,6.21281,-0.0703737,60.0
1744878806488410.0,-210.978,-2440.1,0.469502,0.0,0.0746729,0.0746729,60.0
1744878806509003.0,-210.978,-2440.1,0.469502,0.0,6.19898,-0.0842087,60.0
1744878806529919.0,-210.978,-2440.1,0.469502,0.0,6.13341,-0.149778,60.0
1744878806551031.0,-210.978,-2440.1,0.469502,0.0,6.25444,-0.02875,60.0
1744878806571814.0,-210.978,-2440.1,0.469502,0.0,6.17341,-0.109775,60.0
1744878806592837.0,-210.978,-2440.1,0.469502,0.0,0.124269,0.124269,60.0
1744878806613663.0,-210.978,-2440.1,0.469502,0.0,6.26303,-0.020151,60.0
1744878806637198.0,-210.978,-2440.1,0.469502,0.0,6.21378,-0.0694047,60.0
1744878806657680.0,-210.978,-2440.1,0.469502,0.0,6.24878,-0.0344035,60.0
1744878806678299.0,-210.978,-2440.1,0.469502,0.0,0.0125964,0.0125964,60.0
1744878806699212.0,-210.978,-2440.1,0.469502,0.0,6.17909,-0.104095,60.0
1744878806719861.0,-210.978,-2440.1,0.469502,0.0,6.20951,-0.0736703,60.0
1744878806740728.0,-210.978,-2440.1,0.469502,0.0,6.14118,-0.142001,60.0
1744878806761352.0,-210.978,-2440.1,0.469502,0.0,6.17849,-0.104697,60.0
1744878806782024.0,-210.978,-2440.1,0.469502,0.0,6.21984,-0.0633495,60.0
1744878806802760.0,-210.978,-2440.1,0.469502,0.0,6.13643,-0.146757,60.0
1744878806823611.0,-210.978,-2440.1,0.469502,0.0,0.0189219,0.0189219,60.0
1744878806844452.0,-210.978,-2440.1,0.469502,0.0,6.1603,-0.122887,60.0
1744878806866107.0,-210.978,-2440.1,0.469502,0.0,6.1198,-0.163387,60.0
1744878806886592.0,-210.978,-2440.1,0.469502,0.0,6.12646,-0.156728,60.0
1744878806907224.0,-210.978,-2440.1,0.469502,0.0,0.0198558,0.0198558,60.0
1744878806917697.0,-210.978,-2440.1,0.469502,0.0,6.26948,-0.0137086,60.0
1744878806938461.0,-210.978,-2440.1,0.469502,0.0,6.22509,-0.0580978,60.0
1744878806959143.0,-210.978,-2440.1,0.469502,0.0,6.11973,-0.163454,60.0
1744878806980247.0,-210.978,-2440.1,0.469502,0.0,6.21689,-0.0662969,60.0
1744878807001814.0,-210.978,-2440.1,0.469502,0.0,6.14313,-0.140057,60.0
1744878807022739.0,-210.978,-2440.1,0.469502,0.0,6.17475,-0.10843,60.0
1744878807043232.0,-210.978,-2440.1,0.469502,0.0,6.16908,-0.114107,60.0
1744878807063926.0,-210.978,-2440.1,0.469502,0.0,6.11891,-0.164275,60.0
1744878807084879.0,-210.978,-2440.1,0.469502,0.0,6.18344,-0.0997429,60.0
1744878807105306.0,-210.978,-2440.1,0.469502,0.0,6.18856,-0.0946278,60.0
1744878807125884.0,-210.978,-2440.1,0.469502,0.0,6.15395,-0.129236,60.0
1744878807147328.0,-210.978,-2440.1,0.469502,0.0,6.17498,-0.108208,60.0
1744878807167784.0,-210.978,-2440.1,0.469502,0.0,6.1274,-0.155786,60.0
1744878807188672.0,-210.978,-2440.1,0.469502,0.0,6.13585,-0.147335,60.0
1744878807209332.0,-210.978,-2440.1,0.469502,0.0,0.0744076,0.0744076,60.0
1744878807230191.0,-210.978,-2440.1,0.469502,0.0,0.0515339,0.0515339,60.0
1744878807250969.0,-210.978,-2440.1,0.469502,0.0,6.12961,-0.153571,60.0
1744878807271605.0,-210.978,-2440.1,0.469502,0.0,6.22066,-0.0625216,60.0
1744878807292887.0,-210.978,-2440.1,0.469502,0.0,6.11925,-0.163935,60.0
1744878807313377.0,-210.978,-2440.1,0.469502,0.0,6.14194,-0.141247,60.0
1744878807334123.0,-210.978,-2440.1,0.469502,0.0,6.20478,-0.0784038,60.0
1744878807355111.0,-208.436,-2442.14,0.470201,6.20478,6.12153,-0.083256,60.0
1744878807375995.0,-208.436,-2442.14,0.470201,6.20478,6.09417,-0.110607,60.0
1744878807397745.0,-208.436,-2442.14,0.470201,6.20478,6.09169,-0.113094,60.0
1744878807418043.0,-206.318,-2444.19,0.470915,6.09417,5.96145,-0.132726,60.0
1744878807439024.0,-206.318,-2444.19,0.470915,6.09417,6.02721,-0.0669654,60.0
1744878807459608.0,-204.2,-2446.24,0.47163,5.96145,5.81028,-0.151171,60.0
1744878807480324.0,-204.2,-2446.24,0.47163,5.96145,5.83608,-0.125368,60.0
1744878807501130.0,-204.2,-2446.24,0.47163,5.96145,5.9061,-0.0553492,60.0
1744878807521780.0,-202.082,-2448.29,0.472347,5.83608,5.8004,-0.035684,60.0
1744878807542452.0,-202.082,-2448.29,0.472347,5.83608,5.71202,-0.124065,60.0
1744878807563217.0,-199.964,-2450.33,0.473065,5.8004,5.92176,0.121363,60.0
1744878807583821.0,-199.964,-2450.33,0.473065,5.8004,5.76506,-0.0353388,60.0
1744878807604775.0,-199.964,-2450.33,0.473065,5.8004,5.74975,-0.0506461,60.0
1744878807625484.0,-197.846,-2452.38,0.473784,5.76506,5.6349,-0.130153,60.0
1744878807646131.0,-197.846,-2452.38,0.473784,5.76506,5.67954,-0.0855129,60.0
1744878807666974.0,-195.304,-2454.43,0.474492,5.6349,5.47625,-0.15865,60.0
1744878807687354.0,-195.304,-2454.43,0.474492,5.6349,5.55834,-0.0765648,60.0
1744878807708467.0,-195.304,-2454.43,0.474492,5.6349,5.48133,-0.15357,60.0
1744878807729046.0,-193.186,-2456.48,0.475214,5.55834,5.44925,-0.109085,60.0
1744878807750050.0,-193.186,-2456.48,0.475214,5.55834,5.40824,-0.150103,60.0
1744878807770990.0,-191.068,-2458.52,0.475938,5.44925,5.46592,0.0166618,60.0
1744878807792065.0,-191.068,-2458.52,0.475938,5.44925,5.39168,-0.0575768,60.0
1744878807813036.0,-188.95,-2459.89,0.4764,5.46592,5.59635,0.130433,60.0
1744878807833524.0,-188.95,-2459.89,0.4764,5.46592,5.37248,-0.0934318,60.0
1744878807854690.0,-188.95,-2459.89,0.4764,5.46592,5.38765,-0.0782703,60.0
1744878807876053.0,-186.408,-2461.94,0.477114,5.37248,5.39158,0.0190937,60.0
1744878807896497.0,-186.408,-2461.94,0.477114,5.37248,5.46906,0.0965733,60.0
1744878807917227.0,-184.29,-2463.98,0.477842,5.39158,5.25537,-0.136211,60.0
1744878807938076.0,-184.29,-2463.98,0.477842,5.39158,5.40136,0.00978312,60.0
1744878807958804.0,-184.29,-2463.98,0.477842,5.39158,5.3118,-0.0797729,60.0
1744878807979432.0,-182.172,-2466.03,0.478571,5.40136,5.33697,-0.0643943,60.0
1744878808000389.0,-182.172,-2466.03,0.478571,5.40136,5.27987,-0.121491,60.0
1744878808021241.0,-180.054,-2468.76,0.479565,5.33697,5.28115,-0.055813,60.0
1744878808042597.0,-180.054,-2468.76,0.479565,5.33697,5.26226,-0.0747097,60.0
1744878808063412.0,-180.054,-2468.76,0.479565,5.33697,5.23476,-0.102203,60.0
1744878808083839.0,-177.936,-2470.81,0.480297,5.26226,5.12653,-0.135723,60.0
1744878808104611.0,-177.936,-2470.81,0.480297,5.26226,5.15766,-0.104598,60.0
1744878808125283.0,-175.818,-2472.86,0.48103,5.12653,5.13906,0.0125221,60.0
1744878808146082.0,-175.818,-2472.86,0.48103,5.12653,5.02727,-0.0992638,60.0
1744878808166928.0,-173.7,-2474.91,0.481765,5.13906,5.00525,-0.133806,60.0
1744878808187982.0,-173.7,-2474.91,0.481765,5.13906,5.18794,0.0488888,60.0
1744878808208325.0,-173.7,-2474.91,0.481765,5.13906,5.1347,-0.00435312,60.0
1744878808229073.0,-171.582,-2476.95,0.482501,5.18794,5.26698,0.0790334,60.0
1744878808249762.0,-171.582,-2476.95,0.482501,5.18794,5.16379,-0.0241582,60.0
1744878808270514.0,-169.464,-2479.0,0.483239,5.26698,5.32067,0.053691,60.0
1744878808291486.0,-169.464,-2479.0,0.483239,5.26698,5.25724,-0.00974107,60.0
1744878808312048.0,-169.464,-2479.0,0.483239,5.26698,5.3639,0.0969252,60.0
1744878808332903.0,-167.346,-2481.05,0.483977,5.25724,5.26661,0.00937116,60.0
1744878808353811.0,-167.346,-2481.05,0.483977,5.25724,5.34429,0.0870573,60.0
1744878808374306.0,-165.651,-2483.78,0.484994,5.26661,5.2053,-0.0613105,60.0
1744878808395092.0,-165.651,-2483.78,0.484994,5.26661,5.14418,-0.122423,60.0
1744878808416087.0,-165.651,-2483.78,0.484994,5.26661,5.12978,-0.136831,60.0
1744878808436845.0,-163.533,-2485.83,0.485736,5.14418,5.01579,-0.12839,60.0
1744878808457350.0,-163.533,-2485.83,0.485736,5.14418,5.12543,-0.0187583,60.0
1744878808478041.0,-161.415,-2487.87,0.486479,5.01579,5.06785,0.0520586,60.0
1744878808498746.0,-161.415,-2487.87,0.486479,5.01579,4.98254,-0.033252,60.0
1744878808519601.0,-161.415,-2487.87,0.486479,5.01579,5.02399,0.00819846,60.0
1744878808540263.0,-159.296,-2489.92,0.487223,4.98254,4.8441,-0.138441,60.0
1744878808560951.0,-159.296,-2489.92,0.487223,4.98254,5.03362,0.0510798,60.0
1744878808581915.0,-157.602,-2492.65,0.488246,4.8441,4.77749,-0.0666091,60.0
1744878808602710.0,-157.602,-2492.65,0.488246,4.8441,4.94335,0.0992474,60.0
1744878808623616.0,-155.484,-2494.7,0.488993,4.77749,4.68387,-0.0936184,60.0
1744878808644233.0,-155.484,-2494.7,0.488993,4.77749,4.79889,0.0213966,60.0
1744878808665278.0,-155.484,-2494.7,0.488993,4.77749,4.7651,-0.0123936,60.0
1744878808686167.0,-153.789,-2496.75,0.489751,4.79889,4.6586,-0.140286,60.0
1744878808706747.0,-153.789,-2496.75,0.489751,4.79889,4.77387,-0.025018,60.0
1744878808727969.0,-151.671,-2499.48,0.490768,4.6586,4.5241,-0.134501,60.0
1744878808748548.0,-151.671,-2499.48,0.490768,4.6586,4.63819,-0.0204109,60.0
1744878808769510.0,-151.671,-2499.48,0.490768,4.6586,4.67547,0.0168663,60.0
1744878808790095.0,-149.976,-2501.52,0.49153,4.63819,4.56993,-0.068261,60.0
1744878808810382.0,-149.976,-2501.52,0.49153,4.63819,4.62903,-0.00915855,60.0
1744878808831037.0,-147.858,-2504.26,0.49255,4.56993,4.61207,0.0421374,60.0
1744878808851597.0,-147.858,-2504.26,0.49255,4.56993,4.50418,-0.0657558,60.0
1744878808872853.0,-147.858,-2504.26,0.49255,4.56993,4.49583,-0.0741006,60.0
1744878808893452.0,-146.163,-2506.3,0.493313,4.50418,4.5002,-0.00397393,60.0
1744878808914150.0,-146.163,-2506.3,0.493313,4.50418,4.65149,0.147317,60.0
1744878808934987.0,-144.045,-2509.03,0.494337,4.5002,4.57739,0.0771845,60.0
1744878808955816.0,-144.045,-2509.03,0.494337,4.5002,4.39123,-0.108968,60.0
1744878808976596.0,-142.35,-2511.08,0.495103,4.57739,4.67777,0.100385,60.0
1744878808997048.0,-142.35,-2511.08,0.495103,4.57739,4.55001,-0.0273753,60.0
1744878809017833.0,-142.35,-2511.08,0.495103,4.57739,4.49625,-0.0811363,60.0
1744878809038491.0,-140.656,-2513.81,0.496139,4.55001,4.52762,-0.0223944,60.0
1744878809059363.0,-140.656,-2513.81,0.496139,4.55001,4.57322,0.0232077,60.0
1744878809079886.0,-138.961,-2515.86,0.496908,4.52762,4.42659,-0.101029,60.0
