time,UAV_NED_x,UAV_NED_y,UAV_NED_z,distanceToObst,riskID,risk_type,pos_0,pos_1,pos_2,controller_mode,groundspeed,course,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5
1744878805651913.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805671432.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805692196.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805714329.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805734509.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805755565.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805776016.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805776016.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,355.267,1.0472
1744878805797346.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
1744878805797346.0,-210.978,-2440.1,0.469502,1271.79,102.0,0.0,453.676,-1355.8,0.160048,3.0,0.0,0.0,907.988,-2711.47,0.640226,-1.0,355.267,1.0472
1744878805817934.0,-210.978,-2440.1,0.469502,1109.99,101.0,0.0,-1320.97,-2440.41,0.603288,3.0,0.0,0.0,-2641.24,-4880.9,2.41292,-1.0,354.621,1.0472
