time,x_state,y_state,z_state,psi_state,mpc_cmd_psi,mpc_cmd_omega,mpc_cmd_vel
1744878805387300.0,453.676,-1355.8,0.160048,0.0,6.14323,-0.139956,60.0
1744878805406756.0,453.676,-1355.8,0.160048,0.0,0.0589202,0.0589202,60.0
1744878805427879.0,453.676,-1355.8,0.160048,0.0,6.19754,-0.0856489,60.0
1744878805448322.0,453.676,-1355.8,0.160048,0.0,6.12488,-0.158309,60.0
1744878805468818.0,453.676,-1355.8,0.160048,0.0,6.18095,-0.102235,60.0
1744878805489450.0,453.676,-1355.8,0.160048,0.0,0.0844556,0.0844556,60.0
1744878805510376.0,453.676,-1355.8,0.160048,0.0,6.12243,-0.160754,60.0
1744878805530805.0,453.676,-1355.8,0.160048,0.0,6.2386,-0.0445826,60.0
1744878805551662.0,453.676,-1355.8,0.160048,0.0,6.23578,-0.0474042,60.0
1744878805572122.0,453.676,-1355.8,0.160048,0.0,6.19511,-0.088078,60.0
1744878805593176.0,453.676,-1355.8,0.160048,0.0,6.15357,-0.129617,60.0
1744878805613406.0,453.676,-1355.8,0.160048,0.0,6.16938,-0.1138,60.0
1744878805636433.0,453.676,-1355.8,0.160048,0.0,6.27758,-0.00560574,60.0
1744878805656900.0,453.676,-1355.8,0.160048,0.0,0.0296583,0.0296583,60.0
1744878805677436.0,453.676,-1355.8,0.160048,0.0,6.2503,-0.0328814,60.0
1744878805698426.0,453.676,-1355.8,0.160048,0.0,6.13797,-0.145216,60.0
1744878805719627.0,453.676,-1355.8,0.160048,0.0,6.20057,-0.0826118,60.0
1744878805740035.0,453.676,-1355.8,0.160048,0.0,6.17932,-0.103867,60.0
1744878805760884.0,453.676,-1355.8,0.160048,0.0,6.14553,-0.137655,60.0
1744878805781723.0,453.676,-1355.8,0.160048,0.0,6.16346,-0.119723,60.0
1744878805802453.0,453.676,-1355.8,0.160048,0.0,0.157837,0.157837,60.0
1744878805823105.0,453.676,-1355.8,0.160048,0.0,6.20105,-0.0821303,60.0
1744878805843723.0,453.676,-1355.8,0.160048,0.0,6.15724,-0.125944,60.0
1744878805864234.0,453.676,-1355.8,0.160048,0.0,6.23694,-0.0462469,60.0
1744878805887310.0,453.676,-1355.8,0.160048,0.0,6.20675,-0.0764339,60.0
1744878805907788.0,453.676,-1355.8,0.160048,0.0,6.17024,-0.112948,60.0
1744878805928357.0,453.676,-1355.8,0.160048,0.0,6.20448,-0.078709,60.0
1744878805949328.0,453.676,-1355.8,0.160048,0.0,6.1548,-0.128387,60.0
1744878805969924.0,453.676,-1355.8,0.160048,0.0,6.23295,-0.0502353,60.0
1744878805991721.0,453.676,-1355.8,0.160048,0.0,0.00761431,0.00761431,60.0
1744878806012225.0,453.676,-1355.8,0.160048,0.0,0.0297463,0.0297463,60.0
1744878806032573.0,453.676,-1355.8,0.160048,0.0,6.12788,-0.15531,60.0
1744878806053687.0,453.676,-1355.8,0.160048,0.0,6.21849,-0.0646913,60.0
1744878806074371.0,453.676,-1355.8,0.160048,0.0,6.14228,-0.140908,60.0
1744878806097275.0,453.676,-1355.8,0.160048,0.0,6.1853,-0.0978819,60.0
1744878806118146.0,453.676,-1355.8,0.160048,0.0,6.26204,-0.0211409,60.0
1744878806138903.0,453.676,-1355.8,0.160048,0.0,6.22405,-0.0591316,60.0
1744878806159713.0,453.676,-1355.8,0.160048,0.0,6.27133,-0.0118567,60.0
1744878806180337.0,453.676,-1355.8,0.160048,0.0,0.118112,0.118112,60.0
1744878806200857.0,453.676,-1355.8,0.160048,0.0,6.12396,-0.159229,60.0
1744878806221687.0,453.676,-1355.8,0.160048,0.0,6.14578,-0.137405,60.0
1744878806243163.0,453.676,-1355.8,0.160048,0.0,0.0559407,0.0559407,60.0
1744878806264006.0,453.676,-1355.8,0.160048,0.0,6.14571,-0.137473,60.0
1744878806284920.0,453.676,-1355.8,0.160048,0.0,6.25375,-0.0294305,60.0
1744878806305664.0,453.676,-1355.8,0.160048,0.0,6.22311,-0.060077,60.0
1744878806326279.0,453.676,-1355.8,0.160048,0.0,6.24195,-0.0412358,60.0
1744878806348191.0,453.676,-1355.8,0.160048,0.0,0.0335173,0.0335173,60.0
1744878806368838.0,453.676,-1355.8,0.160048,0.0,6.14305,-0.140139,60.0
1744878806389407.0,453.676,-1355.8,0.160048,0.0,0.0268924,0.0268924,60.0
1744878806410207.0,453.676,-1355.8,0.160048,0.0,6.12442,-0.158763,60.0
1744878806431257.0,453.676,-1355.8,0.160048,0.0,0.00023345,0.00023345,60.0
1744878806451813.0,453.676,-1355.8,0.160048,0.0,0.0351703,0.0351703,60.0
1744878806472690.0,453.676,-1355.8,0.160048,0.0,6.15603,-0.127152,60.0
1744878806493186.0,453.676,-1355.8,0.160048,0.0,6.27502,-0.0081613,60.0
1744878806513816.0,453.676,-1355.8,0.160048,0.0,6.18151,-0.101678,60.0
1744878806534497.0,453.676,-1355.8,0.160048,0.0,6.1775,-0.10569,60.0
1744878806555502.0,453.676,-1355.8,0.160048,0.0,0.00705937,0.00705937,60.0
1744878806576181.0,453.676,-1355.8,0.160048,0.0,6.1767,-0.106481,60.0
1744878806597088.0,453.676,-1355.8,0.160048,0.0,6.12296,-0.160224,60.0
1744878806617613.0,453.676,-1355.8,0.160048,0.0,6.14795,-0.135235,60.0
1744878806638219.0,453.676,-1355.8,0.160048,0.0,6.18446,-0.0987231,60.0
1744878806659003.0,453.676,-1355.8,0.160048,0.0,6.22941,-0.0537744,60.0
1744878806679500.0,453.676,-1355.8,0.160048,0.0,6.26421,-0.0189762,60.0
1744878806700564.0,453.676,-1355.8,0.160048,0.0,6.14913,-0.134051,60.0
1744878806721559.0,453.676,-1355.8,0.160048,0.0,0.142781,0.142781,60.0
1744878806742384.0,453.676,-1355.8,0.160048,0.0,6.17003,-0.113151,60.0
1744878806763270.0,453.676,-1355.8,0.160048,0.0,6.13011,-0.153072,60.0
1744878806784123.0,453.676,-1355.8,0.160048,0.0,6.24319,-0.039994,60.0
1744878806806140.0,453.676,-1355.8,0.160048,0.0,6.12083,-0.162359,60.0
1744878806827103.0,453.676,-1355.8,0.160048,0.0,0.0569957,0.0569957,60.0
1744878806848489.0,453.676,-1355.8,0.160048,0.0,6.17769,-0.105498,60.0
1744878806869008.0,453.676,-1355.8,0.160048,0.0,6.12427,-0.158915,60.0
1744878806889536.0,453.676,-1355.8,0.160048,0.0,6.24774,-0.0354467,60.0
1744878806910948.0,453.676,-1355.8,0.160048,0.0,6.19507,-0.0881195,60.0
1744878806931524.0,453.676,-1355.8,0.160048,0.0,6.14213,-0.14105,60.0
1744878806953429.0,453.676,-1355.8,0.160048,0.0,6.15646,-0.126727,60.0
1744878806974036.0,453.676,-1355.8,0.160048,0.0,6.17321,-0.109979,60.0
1744878806994635.0,453.676,-1355.8,0.160048,0.0,6.14567,-0.137515,60.0
1744878807015384.0,453.676,-1355.8,0.160048,0.0,6.17852,-0.104664,60.0
1744878807036352.0,453.676,-1355.8,0.160048,0.0,0.0779952,0.0779952,60.0
1744878807058122.0,453.676,-1355.8,0.160048,0.0,6.14046,-0.142722,60.0
1744878807078782.0,453.676,-1355.8,0.160048,0.0,0.00902408,0.00902408,60.0
1744878807099702.0,453.676,-1355.8,0.160048,0.0,6.17648,-0.106709,60.0
1744878807121110.0,453.676,-1355.8,0.160048,0.0,6.23392,-0.0492632,60.0
1744878807141766.0,453.676,-1355.8,0.160048,0.0,6.26515,-0.0180304,60.0
1744878807162445.0,453.676,-1355.8,0.160048,0.0,6.21268,-0.0705092,60.0
1744878807183084.0,453.676,-1355.8,0.160048,0.0,0.0899601,0.0899601,60.0
1744878807203864.0,453.676,-1355.8,0.160048,0.0,6.20595,-0.0772344,60.0
1744878807225352.0,453.676,-1355.8,0.160048,0.0,6.17278,-0.110403,60.0
1744878807245916.0,453.676,-1355.8,0.160048,0.0,6.12762,-0.155567,60.0
1744878807266797.0,456.217,-1357.85,0.160665,6.17278,6.06845,-0.104334,60.0
1744878807287302.0,456.217,-1357.85,0.160665,6.17278,6.04477,-0.128013,60.0
1744878807308349.0,458.335,-1359.9,0.161253,6.06845,6.21789,0.149441,60.0
1744878807329221.0,458.335,-1359.9,0.161253,6.06845,6.04098,-0.0274717,60.0
1744878807349644.0,460.453,-1361.95,0.161842,6.21789,6.08339,-0.134495,60.0
1744878807371409.0,460.453,-1361.95,0.161842,6.21789,6.27422,0.0563359,60.0
1744878807392063.0,460.453,-1361.95,0.161842,6.21789,6.12359,-0.0943012,60.0
1744878807413071.0,462.571,-1364.0,0.162433,6.27422,6.18184,-0.0923829,60.0
1744878807433795.0,462.571,-1364.0,0.162433,6.27422,6.24643,-0.0277939,60.0
1744878807454252.0,464.689,-1366.04,0.163025,6.18184,6.03434,-0.147503,60.0
1744878807474985.0,464.689,-1366.04,0.163025,6.18184,6.07499,-0.106856,60.0
1744878807495512.0,464.689,-1366.04,0.163025,6.18184,6.05298,-0.128863,60.0
1744878807516367.0,466.806,-1368.09,0.163618,6.07499,6.05487,-0.0201188,60.0
1744878807537082.0,466.806,-1368.09,0.163618,6.07499,5.92289,-0.152094,60.0
1744878807557933.0,469.348,-1370.14,0.164244,6.05487,6.06501,0.0101385,60.0
